stemId,stem,tf,df
1,pa,7404984,4275
-1,||,3423772,4281
3,ba,3001308,4251
4,la,2484627,4270
2,dang,2179858,4157
9,na,2057589,4228
6,de,2009980,4128
5,par,1817102,4149
7,ni,1555474,3997
10,bya,1349972,4088
8,ma,1347036,4210
13,kyi,1144194,4088
11,du,1111154,4193
15,dag,1046259,4054
22,rnam,1004939,3956
12,zhe,998033,3496
19,yang,811650,3793
14,yin,789432,2970
16,nyid,708732,3657
18,bar,700327,3968
33,gyi,673173,4050
17,mi,672251,3647
20,med,625202,3631
34,gyur,619441,3824
21,te,576450,3664
36,gi,565775,3959
54,da,516375,3511
23,su,512965,3808
37,sa,503657,4231
24,sem,484080,3513
30,di,478128,3488
26,tu,477850,3712
25,phyir,474785,2785
27,zhin,462437,3625
28,byed,454690,3395
29,she,453837,3464
31,gang,450839,3410
32,ste,406861,3431
35,sag,385053,3300
41,cha,382806,3580
46,bu,376904,3727
43,ra,372445,3697
39,cad,366197,3641
38,ldan,341187,3692
68,nga,337436,3287
58,rgya,332338,4110
40,tham,314179,3440
62,rje,311677,3796
49,lta,299726,3282
42,ltar,294911,3160
44,can,288518,3548
45,rab,280319,3345
60,stan,276830,3000
114,ga,276821,3782
50,dan,276713,3398
139,rtag,263640,3012
57,nyi,258166,3625
76,cig,254845,3519
56,ge,250809,3441
79,byung,249600,3326
47,chen,248736,3588
52,zhan,247606,3152
48,kyang,247107,2990
81,skye,245063,3027
53,byang,236744,3119
51,rang,235549,3430
69,sang,228452,3315
74,dad,220226,3098
133,kha,220062,3379
67,pa',217764,2945
92,phyag,209719,4173
71,sum,206664,3690
55,chub,206080,2709
102,rig,203054,2916
80,ngan,199005,2885
72,yi,197164,3635
116,zhi,193081,3379
61,rda,183468,3128
110,tha,183190,2724
126,chag,182085,3335
59,ji,181482,2751
64,khar,180322,3401
100,ta,177465,3028
73,tshan,172965,3221
63,kun,171423,3123
65,cam,171158,2601
135,lag,170247,2902
66,yad,169127,2362
105,gra,163880,3343
70,bang,161457,3238
86,rten,153888,3007
84,spyad,151508,2621
78,ral,150007,2852
82,ce,149769,2327
113,mig,148626,2593
98,jig,147507,3012
89,sung,145413,2680
137,thab,144858,3552
103,tshig,143668,2721
77,stang,142901,2923
75,zhing,142241,3124
111,ci,141835,2394
94,pha,141767,2395
95,cing,137240,3222
128,nye,135928,2599
119,lha,134699,3130
129,sam,134175,3220
90,tshe,132493,2544
85,rgyal,131810,3195
83,dzin,130986,2919
87,rjad,127411,2766
144,sbyar,124881,2644
171,sal,123654,3102
91,thang,123488,2321
88,zhig,122703,2464
97,lu,119894,3016
106,rgyu,119235,2269
142,nge,118467,2467
96,zug,118256,2638
93,sheg,116891,2532
108,dam,115373,3042
162,chad,114303,3254
101,tshag,113593,3272
99,phyin,112647,1972
150,smra,110812,1853
130,ca,110159,3078
123,ga',108543,2538
170,khyad,108539,2278
132,grub,108072,2867
189,mang,107031,2455
176,sgrub,106472,3188
104,shing,106387,2965
124,byar,104798,2625
109,shad,104794,2381
107,skad,103383,3725
184,tan,102837,2674
148,nam,102745,3409
179,nyan,97847,2212
156,cu,97586,2628
120,slang,97489,2079
155,che,97073,2991
190,nyam,96091,2670
112,rdzag,95810,4100
118,lam,95345,2667
143,yan,94841,2645
122,jug,94278,2263
115,yid,94117,2705
186,bla,93799,2934
117,tshul,92487,2413
136,me,91827,3187
127,bra,90953,2252
152,gal,90602,1847
157,ya,88572,2963
219,dun,88027,2811
147,ka,87323,3046
125,ye,87145,2979
196,zhug,86578,3149
149,lnga,85093,2810
138,kham,84190,2388
192,snyam,83782,1859
191,zad,82787,2412
131,sbyin,82485,2576
145,sngag,81569,3047
168,sgra,80466,2220
134,snang,80214,2367
182,mar,80050,3101
207,zla,79991,3333
217,nad,79488,2309
185,skyed,79475,2582
239,spang,78162,2273
141,snying,75952,3125
154,nang,75859,2590
258,zung,75755,2595
153,dzad,75722,3367
208,sgam,75402,2728
248,zhag,74560,2596
175,phyi,73981,2327
273,ha,73970,3091
201,ri,73584,2852
140,yul,73335,2051
146,kyil,72341,2467
249,tag,71750,2587
202,slab,70791,2554
169,byin,70764,2579
199,dra,69521,2552
223,bye,69182,2141
225,sha,68813,2642
151,rtsa,68783,2544
165,shin,68329,2513
187,chu,67966,2730
280,'a,67441,2600
181,thun,66525,2253
166,sna,66155,2830
287,za,66026,2323
164,re,65766,2478
183,sku,65676,2788
209,dri,64459,2719
172,tshad,64203,2033
160,tsam,63888,2263
210,nu,63620,2428
159,sdug,63333,2023
252,grang,62725,2176
161,'ad,62406,2898
174,bral,61555,2340
158,aa,61303,2561
163,drug,60623,2407
247,chi,59924,1917
271,thar,59421,2366
337,thag,59384,2402
203,rim,59119,2523
267,dug,59014,2597
167,tha',58940,2249
222,ka',58700,2149
173,dir,57417,1949
231,tshal,57041,4005
214,sga,56398,2037
193,phag,55862,2758
177,rgyad,54845,2605
178,srid,54546,2270
180,sngan,54322,2589
260,ti,53971,2356
195,lhag,52863,2046
291,'ang,52763,2035
382,tsha,52256,2328
188,sngal,51109,1875
200,ting,50952,1894
392,gu,50669,2635
198,rung,50312,1792
324,lang,50290,2510
234,snga,50085,2361
244,thug,49954,2597
230,sar,49105,2287
265,sad,48441,2377
197,rnal,48263,2159
224,ru,47917,2532
194,h'um,47168,1921
378,gag,46669,1485
204,aom,46372,2171
205,rin,46337,2438
211,sma,46295,1411
272,sdu,45753,2315
206,leg,45149,2296
296,sman,44615,1994
315,tshang,44431,2106
212,phan,44414,2069
233,zang,44165,2418
226,lan,43921,2057
213,khyen,43633,1525
354,tsa,43485,2327
220,stab,43123,2061
261,tshar,42894,1703
262,nar,42583,2201
215,kha',41592,2363
306,khang,41479,2079
